variable,tipo,auc_abs,auc_interpretation,effect_size,effect_size_interpretation,iv,iv_interpretation,p_value,separation_detected,clasificacion,advertencia_iv
e_log,continua,0.5283505370267776,casi aleatorio,0.052166376780384986,despreciable,,,1.5558084010353304e-13,False,Descartable,False
e,continua,0.5283505370267776,casi aleatorio,0.006387916846809877,despreciable,,,1.5558084010353304e-13,False,Descartable,False
l_is_zero,categórica,0.5270114817696202,casi aleatorio,0.1037506292823019,débil,0.10062635878689197,medio,9.79184381190889e-248,False,Descartable,False
e_is_zero,categórica,0.5226082787405175,casi aleatorio,0.020138271239440727,despreciable,0.00822953798243671,inútil,6.802183181905645e-11,False,Descartable,False
j_grouped,categórica,0.520434320741219,casi aleatorio,0.060846278760008754,despreciable,0.0456016140845556,débil,6.304714734005625e-84,False,Descartable,False
b_top1pct,categórica,0.5197301059169062,casi aleatorio,0.07891258291805234,despreciable,0.06381963661463329,débil,3.438266070123112e-144,False,Descartable,False
fecha_weekday,categórica,0.5110495335351908,casi aleatorio,0.008806425377329874,despreciable,0.0015682911484773045,inútil,0.22791149709347464,False,Descartable,False
c_missing,categórica,0.5109495697621013,casi aleatorio,0.014874591359282329,despreciable,0.004277685773673374,inútil,1.4393116916997147e-06,False,Descartable,False
b_missing,categórica,0.5109495697621013,casi aleatorio,0.014874591359282329,despreciable,0.004277685773673374,inútil,1.4393116916997147e-06,False,Descartable,False
c_log,continua,0.5103324077174501,casi aleatorio,0.04272391586647701,despreciable,,,0.01708936069521937,False,Descartable,False
c,continua,0.5103324077174501,casi aleatorio,0.15990482893350808,despreciable,,,0.01708936069521937,False,Descartable,False
fecha_hour,continua,0.5102863663081809,casi aleatorio,0.005441527739090347,despreciable,,,0.010349995778331293,False,Descartable,False
monto_top1pct,categórica,0.5095515602561768,casi aleatorio,0.04234522457487934,despreciable,0.022251892971050156,débil,7.687485387082081e-43,False,Descartable,False
d_is_zero,categórica,0.5083808952065789,casi aleatorio,0.05117787799768434,despreciable,0.026885438525281552,débil,9.400331863869393e-62,False,Descartable,False
score_is_zero,categórica,0.5075380340562201,casi aleatorio,0.018993163677840562,despreciable,0.009562508847447602,inútil,7.558530224185959e-10,False,Descartable,False
c_top1pct,categórica,0.5055332231532237,casi aleatorio,0.026037116717189043,despreciable,0.009673048297491327,inútil,3.277467443165782e-17,False,Descartable,False
l_top1pct,categórica,0.5044022043051766,casi aleatorio,0.019400037010618144,despreciable,0.015689087421364885,inútil,3.262501061448478e-10,False,Descartable,False
f_top1pct,categórica,0.5038408900754641,casi aleatorio,0.016867086103502675,despreciable,0.00992766168711399,inútil,4.6273448926039705e-08,False,Descartable,False
m_top1pct,categórica,0.5037439889326768,casi aleatorio,0.01643611286921249,despreciable,0.009203080526657201,inútil,1.0071594339540455e-07,False,Descartable,False
fecha_hour_sin,continua,0.5035960356442022,casi aleatorio,0.019082749599822486,despreciable,,,0.3697649781348563,False,Descartable,False
fecha_is_weekend,categórica,0.5030558579941439,casi aleatorio,0.003237377145043264,despreciable,0.00021855200710611583,inútil,0.29420795519638054,False,Descartable,False
e_top1pct,categórica,0.5026665559615346,casi aleatorio,0.011660608228352728,despreciable,0.002425492548980117,inútil,0.0001580122729625011,False,Descartable,False
b_is_zero,categórica,0.5014783569380903,casi aleatorio,0.01144790519505439,despreciable,0.0021768649286379163,inútil,0.0002079072539165554,False,Descartable,False
h_top1pct,categórica,0.5013465761467606,casi aleatorio,0.005759978724377886,despreciable,0.000773920594165478,inútil,0.062002543988437346,False,Descartable,False
m_missing,categórica,0.5012062849722521,casi aleatorio,0.009617402479599548,despreciable,0.001626524958895902,inútil,0.0018325227817113177,False,Descartable,False
d_missing,categórica,0.5012062849722521,casi aleatorio,0.009617402479599548,despreciable,0.001626524958895902,inútil,0.0018325227817113177,False,Descartable,False
g_missing,categórica,0.5002477776832712,casi aleatorio,0.0027960154588777364,despreciable,0.0002718711963654566,inútil,0.3649725958713801,False,Descartable,False
f_missing,categórica,0.5000552547242789,casi aleatorio,0.00029474810614189796,despreciable,5.427341050381077e-06,inútil,0.9239171655340703,True,Revisar antes de decidir (inestabilidad numérica),False
l_missing,categórica,0.5000552547242789,casi aleatorio,0.00029474810614189796,despreciable,5.427341050381077e-06,inútil,0.9239171655340703,True,Revisar antes de decidir (inestabilidad numérica),False
