variable,transformacion_aplicada,tipo_test_aplicado,iv,auc_abs,poder_predictivo,observaciones_generales
m_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.16804203315265492,0.57535020623686,casi aleatoria,Descartable; efecto (V de Cramér) débil
j_freq_enc,Frequency encoding,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5650708540720387,casi aleatoria,Revisar antes de decidir (inestabilidad numérica); efecto (Cohen's d) pequeño; inestabilidad numérica en el ajuste logístico
h_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5623225485880944,casi aleatoria,Descartable; efecto (Cohen's d) pequeño
h,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5623225485880944,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
b,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5615380035328362,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
b_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5615380035328362,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
b_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.055999053217335615,0.5610184495913888,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
d_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.09049367303354565,0.559579752700375,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
monto,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5592770267404621,casi aleatoria,Descartable; efecto (Cohen's d) pequeño
monto_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5592770267404621,casi aleatoria,Descartable; efecto (Cohen's d) pequeño
h_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.04296342680661606,0.5551243935756627,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
monto_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.045738665911391495,0.553432842308592,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
fecha_hour_cos,Codificación cíclica de hora (coseno),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5454102674631042,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
a_freq_enc,Frequency encoding,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.544587965072457,casi aleatoria,Descartable; efecto (Cohen's d) pequeño
a,Variable original (sin transformar),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.052921486876707384,0.544587965072457,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
a_grouped,Agrupación de categorías raras (rare grouping),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.052921486876707384,0.544587965072457,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
j,Variable original (sin transformar),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.08180185521702131,0.5435076919224601,casi aleatoria,Descartable; efecto (V de Cramér) débil
c_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.021605675421400367,0.5408617879471773,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
h_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.05994938135690871,0.5397204615667053,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
g,Variable original (sin transformar),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.05488421315044755,0.5396223946306475,casi aleatoria,Revisar antes de decidir (inestabilidad numérica); efecto (V de Cramér) despreciable; inestabilidad numérica en el ajuste logístico
g_grouped,Agrupación de categorías raras (rare grouping),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.04681413252747417,0.537448826152141,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
g_freq_enc,Frequency encoding,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5368654523077222,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
score_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.15052431322700693,0.5359832846327117,casi aleatoria,Descartable; efecto (V de Cramér) débil
e_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.016402490961977465,0.5315929367127774,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
e,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5283505370267776,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
e_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5283505370267776,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
l_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.10062635878689197,0.5270114817696202,casi aleatoria,Descartable; efecto (V de Cramér) débil
e_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.00822953798243671,0.5226082787405175,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
j_grouped,Agrupación de categorías raras (rare grouping),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.0456016140845556,0.520434320741219,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
b_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.06381963661463329,0.5197301059169062,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
fecha_weekday,Extracción de día de la semana,"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.0015682911484773045,0.5110495335351908,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
c_missing,Missing indicator (flag de nulo),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.004277685773673374,0.5109495697621013,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
b_missing,Missing indicator (flag de nulo),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.004277685773673374,0.5109495697621013,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
c,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5103324077174501,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
c_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5103324077174501,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
fecha_hour,Extracción de hora del día,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5102863663081809,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
monto_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.022251892971050156,0.5095515602561768,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
d_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.026885438525281552,0.5083808952065789,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
score_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.009562508847447602,0.5075380340562201,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
c_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.009673048297491327,0.5055332231532237,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
